,gname,country_txt,num_attacks,iso_alpha,ctr,country,pdi,idv,mas,uai,ltowvs,ivr
222,Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Nigeria,6,NGA,NIG,Nigeria,#NULL!,#NULL!,#NULL!,#NULL!,13,84
223,Boko Haram,Nigeria,569,NGA,NIG,Nigeria,#NULL!,#NULL!,#NULL!,#NULL!,13,84
224,Muslim extremists,Nigeria,1,NGA,NIG,Nigeria,#NULL!,#NULL!,#NULL!,#NULL!,13,84
225,Anti-Muslim extremists,Belgium,1,BEL,BEL,Belgium,65,75,54,94,82,57
226,Jihadi-inspired extremists,Belgium,1,BEL,BEL,Belgium,65,75,54,94,82,57
227,Anti-Muslim extremists,Canada,3,CAN,CAN,Canada,39,80,52,48,36,68
228,Jihadi-inspired extremists,Canada,1,CAN,CAN,Canada,39,80,52,48,36,68
229,Anti-Muslim extremists,Cyprus,1,CYP,CYP,Cyprus,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,70
230,Anti-Muslim extremists,Germany,1,DEU,GER,Germany,35,67,66,65,83,40
231,Anti-Semitic extremists,Germany,6,DEU,GER,Germany,35,67,66,65,83,40
232,Jihadi-inspired extremists,Germany,6,DEU,GER,Germany,35,67,66,65,83,40
233,Muslim extremists,Germany,1,DEU,GER,Germany,35,67,66,65,83,40
234,Anti-Muslim extremists,New Zealand,2,NZL,NZL,New Zealand,22,79,58,49,33,75
235,Anti-Muslim extremists,South Africa,2,ZAF,SAF,South Africa,#NULL!,#NULL!,#NULL!,#NULL!,34,63
236,Jihadi-inspired extremists,South Africa,4,ZAF,SAF,South Africa,#NULL!,#NULL!,#NULL!,#NULL!,34,63
237,uMkhonto we Sizwe Military Veterans Association (MKMVA),South Africa,1,ZAF,SAF,South Africa,#NULL!,#NULL!,#NULL!,#NULL!,34,63
238,Anti-Muslim extremists,Spain,1,ESP,SPA,Spain,57,51,42,86,48,44
239,Anti-Muslim extremists,Sweden,1,SWE,SWE,Sweden,31,71,5,29,53,78
240,Anti-Semitic extremists,Sweden,2,SWE,SWE,Sweden,31,71,5,29,53,78
241,Muslim extremists,Sweden,1,SWE,SWE,Sweden,31,71,5,29,53,78
242,Anti-Semitic extremists,Austria,1,AUT,AUT,Austria,11,55,79,70,60,63
243,Jihadi-inspired extremists,Austria,1,AUT,AUT,Austria,11,55,79,70,60,63
244,Muslim extremists,Austria,2,AUT,AUT,Austria,11,55,79,70,60,63
245,Anti-Semitic extremists,France,1,FRA,FRA,France,68,71,43,86,63,48
246,Jihadi-inspired extremists,France,14,FRA,FRA,France,68,71,43,86,63,48
247,Muslim extremists,France,1,FRA,FRA,France,68,71,43,86,63,48
248,Anti-Semitic extremists,Italy,1,ITA,ITA,Italy,50,76,70,75,61,30
249,Anti-Semitic extremists,Russia,1,RUS,RUS,Russia,93,39,36,95,81,20
250,Caucasus Province of the Islamic State,Russia,11,RUS,RUS,Russia,93,39,36,95,81,20
251,Jihadi-inspired extremists,Russia,3,RUS,RUS,Russia,93,39,36,95,81,20
252,Muslim extremists,Russia,1,RUS,RUS,Russia,93,39,36,95,81,20
253,Anti-Semitic extremists,Ukraine,1,UKR,UKR,Ukraine,#NULL!,#NULL!,#NULL!,#NULL!,86,14
254,Barqa Province of the Islamic State,Libya,12,LBY,ARA,Arab countries,80,38,53,68,23,34
255,Derna Protection Force (DPF),Libya,4,LBY,ARA,Arab countries,80,38,53,68,23,34
256,Fezzan Province of the Islamic State,Libya,16,LBY,ARA,Arab countries,80,38,53,68,23,34
257,Muslim Brotherhood,Libya,1,LBY,ARA,Arab countries,80,38,53,68,23,34
258,Muslim extremists,Libya,1,LBY,ARA,Arab countries,80,38,53,68,23,34
259,Shura Council of Benghazi Revolutionaries,Libya,3,LBY,ARA,Arab countries,80,38,53,68,23,34
260,Shura Council of Mujahideen in Derna,Libya,3,LBY,ARA,Arab countries,80,38,53,68,23,34
