Unnamed: 0,gname,country_txt,num_attacks,iso_alpha,Country,Country Name,Uncertainty Avoidance Societal Practices,Future Orientation Societal Practices,Power Distance Societal Practices,Collectivism I Societal Practices (Institutional Collectivism),Humane Orientation Societal Practices,Performance Orientation Societal Practices,Collectivism II Societal Practices (In-group Collectivism),Gender Egalitarianism Societal Practices,Assertiveness Societal Practices ,Country Cluster
157,Muslim extremists,France,1,FRA,57,France,4.43,3.48,5.28,3.93,3.4,4.11,4.37,3.64,4.13,Latin Europe
46,Anti-Semitic extremists,Italy,1,ITA,5,Italy,3.79,3.25,5.43,3.68,3.63,3.58,4.94,3.24,4.07,Latin Europe
69,East Asia Division of the Islamic State,Indonesia,1,IDN,21,Indonesia,4.17,3.86,5.18,4.54,4.69,4.41,5.68,3.26,3.86,Southern Asia
106,Jamaah Ansharut Daulah,Indonesia,11,IDN,21,Indonesia,4.17,3.86,5.18,4.54,4.69,4.41,5.68,3.26,3.86,Southern Asia
120,Jihadi-inspired extremists,Indonesia,3,IDN,21,Indonesia,4.17,3.86,5.18,4.54,4.69,4.41,5.68,3.26,3.86,Southern Asia
147,Mujahidin Indonesia Timur (MIT),Indonesia,8,IDN,21,Indonesia,4.17,3.86,5.18,4.54,4.69,4.41,5.68,3.26,3.86,Southern Asia
159,Muslim extremists,Indonesia,1,IDN,21,Indonesia,4.17,3.86,5.18,4.54,4.69,4.41,5.68,3.26,3.86,Southern Asia
183,Negara Islam Indonesia (NII),Indonesia,1,IDN,21,Indonesia,4.17,3.86,5.18,4.54,4.69,4.41,5.68,3.26,3.86,Southern Asia
77,Hasam Movement,Egypt,4,EGY,41,Egypt,4.06,3.86,4.92,4.5,4.72,4.27,5.64,2.81,3.91,Middle East
88,Islamic State in Egypt,Egypt,1,EGY,41,Egypt,4.06,3.86,4.92,4.5,4.72,4.27,5.64,2.81,3.91,Middle East
149,Muslim Brotherhood,Egypt,2,EGY,41,Egypt,4.06,3.86,4.92,4.5,4.72,4.27,5.64,2.81,3.91,Middle East
156,Muslim extremists,Egypt,2,EGY,41,Egypt,4.06,3.86,4.92,4.5,4.72,4.27,5.64,2.81,3.91,Middle East
185,Omar Abdel Rahman Brigade,Egypt,1,EGY,41,Egypt,4.06,3.86,4.92,4.5,4.72,4.27,5.64,2.81,3.91,Middle East
201,Sinai Province of the Islamic State,Egypt,90,EGY,41,Egypt,4.06,3.86,4.92,4.5,4.72,4.27,5.64,2.81,3.91,Middle East
93,Islamic State of Iraq and the Levant (ISIL),Kazakhstan,1,KAZ,22,Kazakhstan,3.66,3.57,5.31,4.29,3.99,3.57,5.26,3.84,4.46,Eastern Europe
113,Jihadi-inspired extremists,Australia,2,AUS,60,Australia,4.39,4.09,4.74,4.29,4.28,4.36,4.17,3.4,4.28,Anglo
122,Jihadi-inspired extremists,Morocco,1,MAR,27,Morocco,3.65,3.26,5.8,3.87,4.19,3.99,5.87,2.84,4.52,Middle East
123,Jihadi-inspired extremists,Netherlands,1,NLD,56,Netherlands,4.7,4.61,4.11,4.46,3.86,4.32,3.7,3.5,4.32,Germanic Europe
168,Muslim extremists,Netherlands,1,NLD,56,Netherlands,4.7,4.61,4.11,4.46,3.86,4.32,3.7,3.5,4.32,Germanic Europe
126,Jihadi-inspired extremists,Switzerland,1,CHE,55,Switzerland,5.37,4.73,4.9,4.06,3.6,4.94,3.97,2.97,4.51,Germanic Europe
190,Pro-Palestinian extremists,Brazil,1,BRA,68,Brazil,3.6,3.81,5.33,3.83,3.66,4.04,5.18,3.31,4.2,Latin America
