,gname,country_txt,num_attacks,iso_alpha,ctr,country,pdi,idv,mas,uai,ltowvs,ivr
204,Jama'atul Mujahideen Bangladesh (JMB),Bangladesh,5,BGD,BAN,Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0
205,Muslim extremists,Bangladesh,1,BGD,BAN,Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0
206,Al-Qaida in the Islamic Maghreb (AQIM),Algeria,1,DZA,ALG,Algeria,,,,,26.0,32.0
207,Al-Qaida in the Islamic Maghreb (AQIM),Mali,2,MLI,MLI,Mali,,,,,20.0,43.0
208,Ansar al-Islam (Burkina Faso),Mali,2,MLI,MLI,Mali,,,,,20.0,43.0
209,Boko Haram,Mali,1,MLI,MLI,Mali,,,,,20.0,43.0
210,Islamic State in the Greater Sahara (ISGS),Mali,27,MLI,MLI,Mali,,,,,20.0,43.0
211,Jamaat Nusrat al-Islam wal Muslimin (JNIM),Mali,58,MLI,MLI,Mali,,,,,20.0,43.0
212,Muslim extremists,Mali,62,MLI,MLI,Mali,,,,,20.0,43.0
213,Allied Democratic Forces (ADF),Uganda,2,UGA,UGA,Uganda,,,,,24.0,52.0
214,Ansar al-Furqan,Iran,1,IRN,IRA,Iran,58.0,41.0,43.0,59.0,14.0,40.0
215,Jaish al-Adl,Iran,4,IRN,IRA,Iran,58.0,41.0,43.0,59.0,14.0,40.0
216,Muslim extremists,Iran,1,IRN,IRA,Iran,58.0,41.0,43.0,59.0,14.0,40.0
217,Ansar al-Islam (Burkina Faso),Burkina Faso,19,BFA,BUF,Burkina Faso,,,,,27.0,18.0
218,Islamic State in the Greater Sahara (ISGS),Burkina Faso,17,BFA,BUF,Burkina Faso,,,,,27.0,18.0
219,Jamaat Nusrat al-Islam wal Muslimin (JNIM),Burkina Faso,26,BFA,BUF,Burkina Faso,,,,,27.0,18.0
220,Mouhadine,Burkina Faso,2,BFA,BUF,Burkina Faso,,,,,27.0,18.0
221,Muslim extremists,Burkina Faso,56,BFA,BUF,Burkina Faso,,,,,27.0,18.0
222,Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Nigeria,6,NGA,NIG,Nigeria,,,,,13.0,84.0
223,Boko Haram,Nigeria,569,NGA,NIG,Nigeria,,,,,13.0,84.0
224,Muslim extremists,Nigeria,1,NGA,NIG,Nigeria,,,,,13.0,84.0
225,Anti-Muslim extremists,Belgium,1,BEL,BEL,Belgium,65.0,75.0,54.0,94.0,82.0,57.0
226,Jihadi-inspired extremists,Belgium,1,BEL,BEL,Belgium,65.0,75.0,54.0,94.0,82.0,57.0
227,Anti-Muslim extremists,Canada,3,CAN,CAN,Canada,39.0,80.0,52.0,48.0,36.0,68.0
228,Jihadi-inspired extremists,Canada,1,CAN,CAN,Canada,39.0,80.0,52.0,48.0,36.0,68.0
229,Anti-Muslim extremists,Cyprus,1,CYP,CYP,Cyprus,,,,,,70.0
230,Anti-Muslim extremists,Germany,1,DEU,GER,Germany,35.0,67.0,66.0,65.0,83.0,40.0
